,ERA,HOF,Opposing_BA,completed,firstName,games,hits,homeruns,lastName,losses,outs_pitched,player_id,runs_earned,saves,seasons,shutouts,started,strikes,walks,wins,WAR,ERA,wins,strikes,games,seasons,Opposing_BA,predictions
461,4.86875,0,0.2675,77.0,William H.,121.0,1063.0,24.01,Clarke,51.01,2551.0,clarkda01,393.0,3.0499999999999994,8.0,2.06,92.0,175.0,191.0,44.01,-0.49,4.86875,44.01,175.0,121.0,8.0,0.2675,0
463,3.892142857142857,0,0.9357142857142858,270.0,John Francis,365.0,3301.0,109.0,Dwyer,152.0,8430.0,dwyerfr01,1202.0,6.089999999999999,14.0,12.07,318.0,563.0,764.0,176.01,-0.61,3.892142857142857,176.01,563.0,365.0,14.0,0.9357142857142858,0
464,4.180909090909092,0,0.1890909090909091,260.0,Philip Sydney,362.0,3172.0,63.0,Ehret,167.0,8263.0,ehretre01,1229.0,4.089999999999998,11.0,14.05,309.0,848.0,841.0,139.0,-2.5,4.180909090909092,139.0,848.0,362.0,11.0,0.1890909090909091,0
465,3.5525,0,2.5575,113.0,John,129.0,1112.0,17.0,Ewing,63.0,3176.0,ewingjo01,433.0,2.03,4.0,9.0,121.0,525.0,390.0,53.0,-1.22,3.5525,53.0,525.0,129.0,4.0,2.5575,0
468,4.441111111111111,1,0.2766666666666666,240.0,William J.,299.0,2552.0,75.0,Gleason,131.0,7168.0,gleaski01,1007.0,6.039999999999999,9.0,10.05,266.0,744.0,906.0,138.0,8.9,4.441111111111111,138.0,744.0,299.0,9.0,0.2766666666666666,1
470,4.227,0,1.247,191.0,Addison Courtney,262.0,2321.0,81.02000000000002,Gumbert,102.0,5956.0,gumbead01,942.0,1.09,10.0,7.049999999999999,234.0,546.0,634.0,123.01,4.79,4.227,123.01,546.0,262.0,10.0,1.247,0
471,4.739999999999998,0,1.44625,160.0,George Silas,204.0,1650.0,56.02,Haddock,87.0,4740.0,haddoge01,715.0,2.06,8.0,8.06,189.0,599.0,714.0,95.02,1.77,4.739999999999998,95.02,599.0,204.0,8.0,1.44625,0
477,5.223333333333333,0,1.3300000000000003,141.01,Philip Louis,192.0,1478.0,38.02,Knell,90.00999999999998,4357.0,knellph01,654.0,0.09,9.0,8.059999999999999,163.01,575.01,705.0,79.02000000000002,-2.58,5.223333333333333,79.02000000000002,575.01,192.0,9.0,1.3300000000000003,0
481,3.625,0,2.565,113.0,John F.,136.0,1119.0,36.0,O'Brien,65.0,3242.0,obrieda02,442.0,2.03,4.0,2.02,126.0,398.0,486.0,59.0,0.0,3.625,59.0,398.0,136.0,4.0,2.565,0
483,3.244,0,2.15,144.0,Alexander Bennett,168.0,1496.0,34.0,Sanders,70.0,4155.0,sandebe01,498.0,2.03,5.0,14.01,157.0,468.0,297.0,80.0,3.91,3.244,80.0,468.0,168.0,5.0,2.15,0
488,3.89,0,1.3488888888888892,231.0,Henry Eli,283.0,2468.0,92.0,Staley,119.0,6807.0,staleha01,959.0,1.08,9.0,10.04,257.0,746.0,601.0,136.0,-2.56,3.89,136.0,746.0,283.0,9.0,1.3488888888888892,0
