,Unnamed: 0,2B,3B,BA,BB,HBP,HOF,HR,IBB,OBP,OPS,SB,SF,SLG,extra_base_hits,firstName,games,hits,lastName,player_id,runs,WAR
2202,2202,0.15,0.15,0.2578512396694215,1.14,0.0,N,0.15,0.0,0.3217522658610271,0.6539836708197048,0.15,0.0,0.33223140495867765,0.0,Rafael Alberto,384.0,3.1199999999999988,Reyes,reyesal01,2.129999999999999,0.3
2203,2203,1.11,0.11999999999999998,0.2398826979472139,0.11999999999999998,1.0,N,1.11,0.0,0.2867363786461198,0.8011058801123953,0.11999999999999998,0.0,0.5143695014662755,0.0,Felix Antonio,563.0,4.089999999999998,Rodriguez,rodrife01,4.099999999999998,0.52
2204,2204,9.119999999999996,0.16,0.1055611390284757,22.06000000000001,2.0,N,7.1,0.0,0.13998649647943925,0.2970384227775967,0.16,1.0,0.15705192629815742,0.0,Jason David,324.0,63.02,Schmidt,schmija01,29.02,-2.13
2205,2205,1.09,0.1,0.12375152253349575,1.09,0.0,N,0.1,0.0,0.14641670621737066,0.3089014808824133,0.1,0.0,0.16248477466504266,0.0,Steven William,272.0,5.08,Sparks,sparkst01,1.09,-0.06
2206,2206,315.01,41.03,0.2965554359526372,504.0,74.0,N,115.03,16.0,0.3604200323101777,0.7901222210435829,196.0,38.0,0.4297021887334052,0.0,Shannon Harold,1386.0,1653.0,Stewart,stewash01,853.0,24.82
2207,2207,118.0,9.04,0.2751504729148753,191.0,22.0,N,51.02,9.0,0.33450980392156865,0.7339681014280175,49.02,11.0,0.3994582975064489,0.0,Christopher Desmond,828.0,640.0,Stynes,stynech01,351.0,8.17
2208,2208,7.14,0.20000000000000004,0.17287457673340456,24.1,3.0,N,1.19,0.0,0.22085928970522128,0.41898214496509,1.1900000000000002,0.0,0.19812285525986867,0.0,Jeffrey Scot,453.0,76.07000000000002,Suppan,suppaje01,27.110000000000007,1.63
2209,2209,101.0,9.109999999999998,0.253551912568306,259.0,12.0,N,42.03,14.0,0.3468617272298254,0.7344628201260002,16.080000000000002,18.0,0.3876010928961749,0.0,Mark Patrick,1218.0,464.0,Sweeney,sweenma01,220.0,2.06
2210,2210,325.01,5.129999999999998,0.29683885890516576,522.01,74.0,Y,215.01,61.0,0.3655667198926581,0.8513608602164824,53.03999999999999,59.0,0.4857941403238242,0.0,Michael John,1454.0,1540.0,Sweeney,sweenmi01,759.0,24.72
2211,2211,208.01,49.03,0.2564290962527553,490.0,39.0,N,125.01,31.0,0.3392895586652314,0.7625322723561451,114.01,33.0,0.4232427136909136,0.0,Michael Anthony,1417.0,1047.0,Tucker,tuckemi01,625.0,8.11
2212,2212,0.17,0.17,0.10701841712294663,1.16,0.0,N,0.17,0.0,0.1557647058823528,0.3135546511287439,0.17,0.0,0.15778994524639106,0.0,William Edward,854.0,2.1499999999999986,Wagner,wagnebi02,1.16,0.36
2213,2213,1.13,0.14,0.1634363541121005,1.13,0.0,N,0.14,0.0,0.2101879327398615,0.4694859945523288,0.14,0.0,0.25929806181246723,0.0,John Truman,328.0,3.1199999999999988,Wasdin,wasdijo01,2.1199999999999988,0.13
2214,2214,104.04,7.079999999999997,0.23822562979189485,141.01,14.0,N,55.03999999999999,7.0,0.2961882721472281,0.6895727190256509,10.079999999999998,11.0,0.3933844468784227,0.0,Christopher Jon,613.0,435.0,Widger,widgech01,180.01,-0.35
2215,2215,194.0,9.119999999999996,0.2516480366867297,479.0,29.0,N,88.0,30.0,0.3440913604766633,0.7322369609352475,23.08000000000001,31.0,0.38814560045858415,0.0,Gregory Owen,1232.0,878.0,Zaun,zaungr01,437.0,13.74
