player_id,WAR
biesest01,-0.09
bigbeca01,11.66
bigbely01,-0.56
bigbila01,2.5
bigelel01,-0.22
biggicr01,65.07
biggsch01,-0.04
biglepe01,0
bignege01,0.19
biittla01,-0.89
bilarda01,0.74
bilbrji01,0
bildiem01,-0.21
bilkost01,4.88
billibr01,0
billibr02,0
billich01,0.34
billidi01,-1.33
billiha01,-0.07
billija01,-2.45
billijo01,-1.16
billijo02,0.36
binksge01,0.63
birasst01,0.11
birchju01,-1.33
birddo01,0.04
birdfr01,-0.04
birdge01,-0.09
birdgr01,0.9
birdre01,-0.02
birdsda01,-0.07
birkbmi01,0.18
birkiku01,0.02
birkora01,0.68
birmijo01,3.3
birreba01,0.34
birtsti01,-0.02
biscafr01,0.02
bischjo01,0.2
bisenjo01,0
bishobi01,-0.18
bishobi02,-0.06
bishoch01,-0.56
bishofr01,-0.15
bishoji01,-0.24
bisholl01,-0.03
bishoma01,37.4
bishomi01,-0.05
bislari01,-0.94
bissode01,8.61
bithohi01,-0.09
bitkejo01,0.01
bittije01,0.2
bittmre01,0.01
bivinji01,-0.19
bixlebr01,-1.29
bjorkge01,0.26
blachty01,0.68
blackbi01,-0.04
blackbo01,0.54
blackbu01,-0.08
blackbu02,0.01
blackch01,-0.07
blackch02,15.21
blackda01,-0.12
blackdo01,-0.29
blackea01,0.85
blacket01,-0.5
blackew01,-0.72
blackfr01,-0.17
blackge01,-0.19
blackge02,-0.42
blackji01,-0.06
blackjo01,-2.16
blackjo02,-0.67
