,2B,3B,BA,BB,HBP,HOF,HR,IBB,OBP,OPS,SB,SF,SLG,firstName,games,hits,lastName,player_id,runs,seasons,WAR
10214,348.0,32.05,0.2969226504019961,429.0,101.0,N,104.0,13.0,0.3425641025641026,0.7398610252145046,81.02,56.0,0.397296922650402,Placido Enrique,1927.0,2142.0,Polanco,polanpl01,1009.0,18.0,41.33
10215,3.1199999999999983,0.15,0.13991389913899135,3.139999999999999,0.0,N,0.15,0.0,0.179524787327662,0.3789405314851035,0.15,0.0,0.19941574415744148,Sidney Alton,298.0,9.099999999999998,Ponson,ponsosi01,4.1099999999999985,15.0,0.01
10216,2.01,0.03,0.17097560975609755,3.0199999999999996,0.0,N,0.03,0.0,0.22785097682871422,0.4515095134140801,0.03,0.0,0.22365853658536586,Jeremy Robert,35.0,7.01,Powell,powelje01,3.01,3.0,0.08
10217,4.0,0.01,0.21739130434782608,4.0,0.0,N,2.0,1.0,0.2602739726027397,0.6228826682549136,1.0,0.0,0.3626086956521739,Ryan Ashley,25.0,15.0,Radmanovich,radmary01,5.0,1.0,-0.35
10218,17.009999999999998,3.01,0.25903614457831325,15.01,1.0,N,12.01,2.0,0.29312376081147096,0.7300514716548445,3.01,0.0,0.4369277108433735,Alexander Ramon,135.0,86.0,Ramirez,ramiral02,38.0,4.0,-1.08
10219,495.0,24.050000000000004,0.283062930186824,633.0,127.0,N,386.01,58.0,0.34097740175887786,0.8331271067736271,29.090000000000003,87.0,0.49214970501474925,Aramis,2194.0,2303.0,Ramirez,ramirar01,1098.0,20.0,32.15
10220,0.01,0.01,0.005,0.01,0.0,N,0.01,0.0,0.009950248756218907,0.04495024875621891,0.01,0.0,0.035,Frederick Helsher,2.0,0.01,Rath,rathfr02,0.01,1.0,-0.03
10221,117.0,3.0999999999999988,0.286660777385159,145.0,54.0,N,13.059999999999999,22.0,0.3419354838709677,0.7003188760971162,1.12,17.0,0.3583833922261484,Michael Patrick,764.0,649.0,Redmond,redmomi01,208.0,13.0,6.38
10222,55.019999999999996,8.049999999999999,0.2693437806072478,115.0,2.0,N,36.01,12.0,0.34146341463414637,0.7862724254078975,14.03,10.0,0.4448090107737512,Armando,419.0,275.0,Rios,riosar01,135.01,7.0,2.75
10223,25.02,9.03,0.2666938775510204,37.019999999999996,4.0,N,3.0399999999999996,6.0,0.30311245236694717,0.6408267380812329,36.019999999999996,6.0,0.33771428571428574,Kerry Keith,463.0,196.02,Robinson,robinke02,112.00999999999999,7.0,-0.38
10224,0.03,0.03,0.06697767410863045,2.0199999999999996,0.0,N,0.03,0.0,0.12581954417733374,0.1987952189524087,0.03,0.0,0.07297567477507495,Rafael Antonio,56.0,2.01,Roque,roquera01,0.03,3.0,-0.21
10225,3.01,0.03,0.08163265306122448,4.01,0.0,N,0.03,0.0,0.15110356536502548,0.29722601434461726,0.03,0.0,0.1461224489795918,John Edward,37.0,4.0,Roskos,roskojo01,1.02,3.0,-0.62
10226,29.01,8.059999999999999,0.20183593749999998,55.01,10.0,N,6.059999999999999,0.0,0.26192545326841343,0.5461962866017467,25.020000000000003,7.0,0.2842708333333333,Donnie Lamont,418.0,155.01,Sadler,sadledo01,125.01,10.0,-0.79
10227,0.02,0.02,0.00664451827242525,0.02,0.0,N,0.02,0.0,0.013201320132013203,0.05971294803898995,0.02,0.0,0.04651162790697675,Benjamin Damon,35.0,0.02,Sampson,sampsbe01,0.02,2.0,-0.03
10228,1.01,1.01,0.16666666666666666,1.01,0.0,N,0.02,0.0,0.18940826803566604,0.4419082680356661,0.02,0.0,0.2525,Chance Steven,19.0,6.0,Sanford,sanfoch01,4.0,2.0,-0.66
10229,0.01,0.01,0.01,0.01,0.0,N,0.01,0.0,0.019801980198019802,0.08980198019801981,0.01,0.0,0.07,Robert Doffell,1.0,0.01,Sasser,sassero01,0.01,1.0,-0.03
